id,source,title,content,published_at,link,extracted_at
23,The Times of India,"At 90, Dalai Lama gets Grammy for audiobook ‘Meditations’","The Central Tibetan Administration (CTA), which is headquartered at McLeod Ganj in Dharamshala, said the award is a profound honour for Tibetan society. Although the Grammy spread cheer in this hill town, celebrations are on hold as the Dalai Lama is in Karna…",2026-02-02T23:14:28,https://timesofindia.indiatimes.com/world/rest-of-world/at-90-dalai-lama-gets-grammy-for-audiobook-meditations/articleshow/127873326.cms,2026-03-02 17:24:33
24,The Times of India,"Bengal SIR row: Didi storms out of meet with CEC, claims being ‘humiliated’","Talking to reporters later in front of Nirvachan Sadan — where a heavy police posse had gathered — she claimed to have warned the CEC that he will end up like Jagdeep Dhankhar, seen as a reference to the former VP’s sudden resignation last year. She was accom…",2026-02-02T22:21:05,https://timesofindia.indiatimes.com/india/bengal-sir-row-didi-storms-out-of-meet-with-cec-claims-being-humiliated/articleshow/127871381.cms,2026-03-02 17:24:33
25,The Times of India,Gen Naravane's memoir: Rules bar retired officers from publishing classified info,"Senior military officials, particularly those dealing with classified information, are subject to regulations under the Official Secrets Act that restrict the publication of books or information even after retirement to prevent such classified material from b…",2026-02-02T22:07:02,https://timesofindia.indiatimes.com/india/gen-naravanes-memoir-rules-bar-retired-officers-from-publishing-classified-info/articleshow/127871233.cms,2026-03-02 17:24:33
26,The Times of India,BMC carries out anti-encroachment drive on Mohammed Ali Road and Ibrahim Merchant Road in Mumbai,"Mumbai: BMC's B ward on Monday carried out an anti-encroachment drive along Mohammed Ali Road and Ibrahim Merchant Road, removing unauthorised hawkers.",2026-02-02T20:10:00,https://timesofindia.indiatimes.com/city/mumbai/bmc-carries-out-anti-encroachment-drive-on-mohammed-ali-road-and-ibrahim-merchant-road-in-mumbai/articleshow/127868876.cms,2026-03-02 17:24:33
27,The Times of India,Two suspects detained in Samba; searches launched in Udhampur,"On Jan 6, Punjab Police detained a minor in Pathankot on charges of spying and for allegedly sharing confidential information via social media to terror agencies, ISI, and Pakistan military officers. The detention prompted a statewide alert for similar espion…",2026-02-02T19:53:28,https://timesofindia.indiatimes.com/india/two-suspects-detained-in-samba-searches-launched-in-udhampur/articleshow/127870532.cms,2026-03-02 17:24:33
28,The New Yorker,Has Trump Thought Through the Endgame in Iran?,"The country’s Supreme Leader, Ayatollah Ali Khamenei, was killed by U.S. and Israeli strikes, but the conflict is far from over, and has convulsed the Middle East in a spasm of interstate violence.",2026-03-01T17:13:26,https://www.newyorker.com/news/the-lede/has-trump-thought-through-the-endgame-in-iran,2026-03-02 17:24:33
29,The Canary,Israel targets health workers in Iran,Israel's evil has no limits. And we are going to see it time and time again until the international community grows a backbone,2026-03-01T17:11:05,https://www.thecanary.co/global/2026/03/01/israel-targets-health/,2026-03-02 17:24:33
30,Themirror.com,"POLYMARKET accounts earn millions in bets on date of war, including 6 suspected insiders...","A report says that a few users of Polymarket earned significant profits by correctly guessing the date of U.S. strikes on Iran, collectively making $1.2 million",2026-03-01T17:00:12,https://www.themirror.com/money/polymarket-accounts-earn-15m-bets-1711989,2026-03-02 17:24:33
31,TheBlaze,'Painful days': Iran kills US troops as Trump threatens decapitated Iranian regime,"President Donald Trump exchanged threats with remnants of the Iranian regime ahead of the second day of the joint U.S.-Israeli regime-change strikes on the West Asian nation.Tehran, evidently keen to test Trump's resolve despite losing most of its military an…",2026-03-01T17:00:00,https://www.theblaze.com/news/painful-days-iran-kills-at-least-3-us-troops-after-trump-threatens-decapitated-iranian-regime,2026-03-02 17:24:33
32,Israelnationalnews.com,IDF: Elimination of top Iranian terror axis officials complete,Elimination of  Ali Khamenei in Tehran constitutes the culmination of a sustained effort to eliminate the senior leadership of the Iranian terror axis over the past two and a half years.,2026-03-01T16:57:00,https://www.israelnationalnews.com/news/423184,2026-03-02 17:24:33
33,PBS,Iran vows revenge after the killing of its supreme leader and trades strikes with Israel in widening war,Iran vowed revenge Sunday after the killing of its supreme leader and traded strikes with Israel as part of a widening war prompted by a surprise U.S. and Israeli bombardment.,2026-03-01T16:54:18,https://www.pbs.org/newshour/world/iran-vows-revenge-after-the-killing-of-its-supreme-leader-and-trades-strikes-with-israel-in-widening-war,2026-03-02 17:24:33
34,PBS,U.S. and Israel pound targets across Iran as Trump signals openness to talk to new leadership,"The U.S. and Israel pounded targets across Iran on Sunday, dropping massive bombs on the country's ballistic missile sites and wiping out warships as part of an intensifying military campaign that followed the killing of Supreme Leader Ayatollah Ali Khamenei.",2026-03-01T16:54:18,https://www.pbs.org/newshour/world/u-s-and-israel-pound-targets-across-iran-as-trump-signals-openness-to-talk-to-new-leadership,2026-03-02 17:24:33
35,RT,Jihad is coming? What Khamenei’s death means for the region and the world,Eliminating Khamenei doesn’t end the conflict. It transforms it into a matter of principle – and raises the odds of a wider Middle East war Read Full Article at RT.com,2026-03-01T16:45:05,https://www.rt.com/news/633367-jihad-is-coming-khameneis-death/,2026-03-02 17:24:33
36,Vanity Fair,“He Could Be Impeached.” Donald Trump’s Base Revolts Over War With Iran,"MAGA leaders are expressing dismay and anger at president Donald Trump, who campaigned on isolationism and ""no new wars""",2026-03-01T16:37:17,https://www.vanityfair.com/news/story/maga-reaction-donald-trump-iran-attack-war,2026-03-02 17:24:33
37,Israelnationalnews.com,"Purim, 2026; War with Amalek","Amalek, the evil force that Haman represented then, and now, is recognizable in the Iranian regime controlled by Shiite clerics, and Muslim terrorists, such as ISIS, and Islamic Jihadists throughout the world. Opinion.",2026-03-01T16:34:00,https://www.israelnationalnews.com/news/423156,2026-03-02 17:24:33
38,New York Post,Trump got the cartel war he wanted — but Mexico can’t win it alone,The key drivers of cartel power lie outside Mexico's control — in the United States.,2026-03-01T16:30:25,https://nypost.com/2026/03/01/opinion/trump-got-the-cartel-war-he-wanted-but-mexico-cant-win-alone/,2026-03-02 17:24:33
39,The Conversation Africa,"U.S.-Israeli strikes against Iran may succeed on a military basis, but at what political cost?","Even if the U.S. and Israel succeed in bringing about regime change in Iran, they may create an even worse geopolitical situation.",2026-03-01T16:23:19,https://theconversation.com/u-s-israeli-strikes-against-iran-may-succeed-on-a-military-basis-but-at-what-political-cost-277182,2026-03-02 17:24:33
40,The Conversation Africa,"U.S.-Israeli strikes against Iran may succeed on a military basis, but at what cost?","Even if the U.S. and Israel succeed in bringing about regime change in Iran, they may create an even worse geopolitical situation.",2026-03-01T16:23:19,https://theconversation.com/u-s-israeli-strikes-against-iran-may-succeed-on-a-military-basis-but-at-what-cost-277182,2026-03-02 17:24:33
41,DW (English),Will Iran conflict send oil prices above $100 a barrel?,"Oil markets are bracing for sharp price spikes after the US attack on Iran and Tehran's retaliation. Iran's role as a major producer matters, but its strategic position is keeping traders on edge.",2026-03-01T16:02:00,https://www.dw.com/en/will-iran-conflict-send-oil-prices-above-100-a-barrel/a-76176495,2026-03-02 17:24:33
42,Legalinsurrection.com,Anti-Trump Revolt – Tucker Calls Iran Decision “Disgusting and Evil”,"MTG: 'Us younger generations ... hate this f***ing bulls***'
The post Anti-Trump Revolt – Tucker Calls Iran Decision “Disgusting and Evil” first appeared on Le·gal In·sur·rec·tion.",2026-03-01T16:00:37,https://legalinsurrection.com/2026/03/anti-trump-revolt-tucker-calls-iran-decision-disgusting-and-evil/,2026-03-02 17:24:33
43,New Zealand Herald,Letters: Could war with Iran be a Donald Trump distraction tactic that leads to World War III?,OPINION: Could this be a distraction that leads to World War III?,2026-03-01T16:00:00,https://www.nzherald.co.nz/nz/letters-could-war-with-iran-be-a-trump-distraction-tactic-that-leads-to-world-war-iii/premium/H64MS6XI5NDCBLEJZDUK5R3CXM/,2026-03-02 17:24:33
44,New Zealand Herald,Christopher Luxon gift to Donald Trump revealed after Apec Korea meeting; New Zealand left empty-handed,The framed World War II photo gifted to Donald Trump cost $407.82.,2026-03-01T16:00:00,https://www.nzherald.co.nz/nz/politics/christopher-luxon-gift-to-donald-trump-revealed-after-apec-korea-meeting-new-zealand-left-empty-handed/SW4PVP7YAFGTBOYRNN265HD7TM/,2026-03-02 17:24:33
45,Fortune,Top diplomat on Middle Eastern regime change as a losing game: ‘U.S. history in that area of the world is not good with this’,"You may recall that during the Gulf War of 1990-1991, the U.S. basically encouraged the Iraqi people to rise up, then didn't advance on Baghdad.",2026-03-01T15:51:28,https://fortune.com/2026/03/01/why-middle-eastern-regime-change-iran-longshot-wont-work-top-diplomat/,2026-03-02 17:24:33
46,New York Post,Eric Swalwell tears into Barstool Sports’ Dave Portnoy over Iran bombings: ‘Let the adults sort out wars’,"The Democratic gubernatorial candidate demanded Portnoy ""stick to sports"" after the businessman claimed President Donald Trump was ""on the right side here.""",2026-03-01T15:51:28,https://nypost.com/2026/03/01/us-news/eric-swalwell-strikes-at-barstool-sports-dave-portnoy-over-iran/,2026-03-02 17:24:33
47,Fortune,"3 U.S. military service members killed, 5 wounded in Iran operation, Central Command says","Israel claimed that its strikes had killed 40 top Iranian military officials, including the chief of staff for the armed forces, Abdolrahim Mousavi.",2026-03-01T15:46:48,https://fortune.com/2026/03/01/3-american-military-service-members-killed-iran-strike-central-command/,2026-03-02 17:24:33
48,Fox News,"DAVID MARCUS: In Dallas, voters weigh two Senate primaries and now, a war","Texas Senate primaries reveal deep political divisions as voters navigate choices between Cornyn, Paxton, Crockett, and Talarico amid Iran strikes.",2026-03-01T15:32:58,https://www.foxnews.com/opinion/david-marcus-dallas-voters-weigh-two-senate-primaries-now-war,2026-03-02 17:24:33
49,The Times of India,"US-Iran War: 3 American Military members killed, confirms U.S. Central Command after Iran claims it hit USS Abraham Lincoln with ballistic missiles",Iran claimed to have struck the United States' aircraft carrier USS Abraham Lincoln with ballistic missiles in the Gulf.,2026-03-01T15:31:47,https://economictimes.indiatimes.com/news/international/us/us-iran-war-3-american-military-members-killed-confirms-u-s-central-command-after-iran-claims-it-hit-uss-abraham-lincoln-with-ballistic-missiles/articleshow/128919931.cms,2026-03-02 17:24:33
50,RTE,Opposition parties criticise 'illegal' war in Iran,"Green Party leader Roderic O'Gorman has described the US-Israeli attack on Iran as ""an illegal war under international law"", saying the situation has ""destabilised the Middle East"".",2026-03-01T15:29:06,https://www.rte.ie/news/politics/2026/0301/1561073-opposition-middle-east/,2026-03-02 17:24:33
51,The Times of India,"CBSE's Class 10, 12 Board exams in Bahrain, Iran, Kuwait, Oman, Qatar, S Arabia, UAE postponed","In an official circular issued, the Board informed that examinations slated for Monday, March 2, for both Class X and Class XII students in Bahrain, Iran, Kuwait, Oman, Qatar, Saudi Arabia and the United Arab Emirates (UAE) stand postponed. Revised dates will…",2026-03-01T15:26:48,https://timesofindia.indiatimes.com/education/cbses-class-10-12-board-exams-in-bahrain-iran-kuwait-oman-qatar-s-arabia-uae-postponed/articleshow/128919716.cms,2026-03-02 17:24:33
52,The Times of India,Sly Saudi-Israel alliance set up US attack on Iran,"Saudi Arabia and Israel have quietly converged, driven by shared concerns over Iran's regional influence. Despite public diplomacy, Saudi Crown Prince Mohammed bin Salman reportedly urged a US strike, warning of a stronger Iran if action was delayed. This ali…",2026-03-01T15:26:44,https://timesofindia.indiatimes.com/world/us/sly-saudi-israel-alliance-set-up-us-attack-on-iran/articleshow/128916919.cms,2026-03-02 17:24:33
53,CBS News,Farewell to producer Mary Walsh,"For nearly five decades, CBS News producer Mary Walsh has reported from all over the world – from war zones to presidential campaigns – for hundreds of stories, large and small, that had excellence in common. Jane Pauley says so long to a cherished member of …",2026-03-01T15:26:00,https://www.cbsnews.com/video/farewell-to-producer-mary-walsh/,2026-03-02 17:24:33
54,Al Jazeera English,Who are Iran’s senior figures killed in US-Israeli attacks?,Iran's defence minister and the commander-in-chief of the IRGC are among those killed in the US and Israel's attack.,2026-03-01T15:20:30,https://www.aljazeera.com/news/2026/3/1/who-are-irans-senior-figures-killed-in-us-israeli-attacks,2026-03-02 17:24:33
55,gcaptain.com,Chokepoints Under Pressure: When Geography and Conflict Strain the Arteries of Global Trade,"There are moments when geopolitics feels distant from daily life. This is not one of them. By Paul Morgan (gCaptain) – With confirmed US–Israeli strikes on Iran, renewed Houthi threat...",2026-03-01T15:15:31,https://gcaptain.com/chokepoints-under-pressure-when-geography-and-conflict-strain-the-arteries-of-global-trade/,2026-03-02 17:24:33
56,Breitbart News,Fetterman: These Were 'Incredibly Precise and Successful Strikes' on Iran,"Sunday on CNN's ""State of the Union,"" Sen. John Fetterman (D-PA) boasted that the U.S. military strikes on Iran were ""incredibly precise and successful strikes"" that ""eliminated most of the leadership.""
The post Fetterman: These Were ‘Incredibly Precise and S…",2026-03-01T15:14:58,https://www.breitbart.com/clips/2026/03/01/fetterman-these-were-incredibly-precise-and-successful-strikes-on-iran/,2026-03-02 17:24:33
57,Slashdot.org,‘SNL’ Weekend Update Uses Trump’s Own Words Against Him on Iran War - Rolling Stone,"‘SNL’ Weekend Update Uses Trump’s Own Words Against Him on Iran WarRolling Stone 'SNL' takes on Iran attacks and Khamenei killing in cold openUSA Today On ‘S.N.L.,’ the President Wishes All Who Celebrate a ‘Happy World War III’The New York Times ‘SNL’s’ Jost …",2026-03-01T15:12:48,https://slashdot.org/firehose.pl?op=view&amp;id=180878612,2026-03-02 17:24:33
58,Alltoc.com,Why is Prime Video adapting God of War? #entertainment,Amazon bets big on a cinematic video‑game adaptation Prime Video’s live action God of War has officially moved into production with the streamer releasing a first look image that confirms the series is now underway. The adaptation casts Ryan Hurst as Kratos a…,2026-03-01T15:07:33,https://alltoc.com/entertainment/why-is-prime-video-adapting-god-of-war,2026-03-02 17:24:33
59,Breitbart News,Hollywood Celebrities Whine After Trump Strikes Iran: 'Distract from Epstein and Do Netanyahu's Bidding',"Famous (and not-so-famous) entertainers are condemning President Donald Trump's strikes on Iran which have seemingly taken out its Islamist supreme leader, Ayatollah Ali Khamenei.
The post Hollywood Celebrities Whine After Trump Strikes Iran: ‘Distract from E…",2026-03-01T15:04:47,https://www.breitbart.com/entertainment/2026/03/01/hollywood-celebrities-whine-after-trump-strikes-iran-distract-from-epstein-and-do-netanyahus-bidding/,2026-03-02 17:24:33
61,Fox News,JONATHAN TURLEY: How Trump boxed Congress into fight or flight choice on Iran,Sen. Tim Kaine pushes war powers resolution to limit Iran military action as constitutional debate over executive authority and congressional oversight intensifies.,2026-03-01T14:59:50,https://www.foxnews.com/opinion/jonathan-turley-how-trump-boxed-congress-fight-flight-choice-iran,2026-03-02 17:24:33
62,Freerepublic.com,"""I have been singing, screaming, celebrating with my people,"" Iranian-American journalist says.","CBS Evening News. Feb 28, 2026 Iranian Supreme Leader Ayatollah Ali Khamenei was killed in strikes by the U.S. and Israel on Saturday. CBS News contributor Masih Alinejad, who has survived three plots by Iran's regime to kill or kidnap her, discusses the crip…",2026-03-01T14:45:27,https://freerepublic.com/focus/f-bloggers/4368834/posts,2026-03-02 17:24:33
63,Freerepublic.com,President Trump Confirms Ayatollah Khamenei is Dead,"Iran’s state media delivered the message this way: “To the noble and proud people of Iran: With the ultimate grief and sorrow this is to inform you that following the barbaric attack by the criminal governments of America and the evil Zionist regime, the true…",2026-03-01T14:42:36,https://freerepublic.com/focus/f-bloggers/4368833/posts,2026-03-02 17:24:33
64,The Times of India,"'Immoral, unlawful act': Opposition condemns killing of Iran's Supreme Leader Khamenei",Indian opposition parties have strongly condemned the killing of Iran's Supreme Leader Ayatollah Ali Khamenei. They criticized the US-Israel strikes as despicable and immoral. Leaders also questioned India's foreign policy and its response to the conflict. Co…,2026-03-01T14:42:29,https://economictimes.indiatimes.com/news/politics-and-nation/immoral-unlawful-act-opposition-condemns-killing-of-irans-supreme-leader-khamenei/articleshow/128918897.cms,2026-03-02 17:24:33
65,Sputnikglobe.com,Iran's IRGC Says It Launched 4 Ballistic Missiles at US Aircraft Carrier,"TEHRAN (Sputnik) - Tehran launched four ballistic missile strikes on the US aircraft carrier USS Abraham Lincoln, the Islamic Revolutionary Guard Corps (IRGC) said on Sunday.",2026-03-01T14:42:15,https://sputnikglobe.com/20260301/irans-irgc-says-it-launched-4-ballistic-missiles-at-us-aircraft-carrier-1123727814.html,2026-03-02 17:24:33
66,CBC News,Why killing Ayatollah Ali Khamenei may not mean regime change in Iran,"Following a joint U.S.-Israeli missile strike that killed Supreme Leader Ayatollah Ali Khamenei, Iran is experiencing a volatile mix of state-sanctioned mourning and celebratory street protests. The assassination has sparked international fear that the lack o…",2026-03-01T14:33:55,https://www.cbc.ca/news/world/khamenei-death-regime-change-iran-9.7110285,2026-03-02 17:24:33
67,Gothamist,"Hundreds of New Yorkers, including Iranian Americans, protest US strikes","A sign is hoisted during a ""Stop the War on Iran"" protest in Times Square in New York City on February 28, 2026. The United States and Israel launched an attack of unprecedented scale against Iran earlier on Saturday.
 

The protest came after the United Stat…",2026-03-01T14:31:05,https://gothamist.com/news/hundreds-of-new-yorkers-including-iranian-americans-protest-us-strikes,2026-03-02 17:24:33
68,CBS News,Honoring Operation Desert Storm: Waging a battle to build a war memorial,"In 1991 more than half a million Americans served in Operation Desert Storm; 148 were killed in action, to free Kuwait from Saddam Hussein. Yet, when Marine veteran Scott Stump set out to build a memorial on the National Mall, he faced ""grueling"" resistance.",2026-03-01T14:25:05,https://www.cbsnews.com/news/honoring-operation-desert-storm-waging-a-battle-to-build-a-war-memorial/,2026-03-02 17:24:33
69,Foreign Policy,"Trump Made History. Now the Iranian People Can, Too.",Airstrikes on Iran have already made the Middle East safer. They may also make it freer.,2026-03-01T14:24:20,http://foreignpolicy.com/2026/03/01/trump-iran-airstrikes-democracy-security-middle-east-russia-china/,2026-03-02 17:24:33
70,The Times of India,Quote of the Day by John F. Kennedy: 'It is an unfortunate fact that we can secure peace only by preparing for war' – A reflection on war from America’s 35th President,"The Quote of the Day highlights a powerful line by John F. Kennedy in which he stated that lasting peace can only be protected through preparedness and strength. Spoken during a period of rising global tensions, the remark reflected the realities of the Cold …",2026-03-01T14:21:01,https://economictimes.indiatimes.com/magazines/panache/quote-of-the-day-by-john-f-kennedy-it-is-an-unfortunate-fact-that-we-can-secure-peace-only-by-preparing-for-war-a-reflection-on-war-from-americas-35th-president/articleshow/128918151.cms,2026-03-02 17:24:33
71,Rlsbb.to,Classic Military Vehicle - 2025 Full Year,"Classic Military Vehicle is the best selling publication in the UK dedicated to the coverage of all historic military vehicles. From the turn of the 20th century, when warfare started to become increasingly mechanised, right up to the Gulf War of the 1990s, a…",2026-03-01T14:20:35,https://post.rlsbb.to/classic-military-vehicle-2025-full-year/,2026-03-02 17:24:33
72,Slashdot.org,"As the U.S. and Israel attack Iran, governments around the world stress risks of new war in the Middle East - CBS News","As the U.S. and Israel attack Iran, governments around the world stress risks of new war in the Middle EastCBS News View Full Coverage on Google News ...",2026-03-01T14:12:31,https://slashdot.org/firehose.pl?op=view&amp;id=180878398,2026-03-02 17:24:33
73,Freerepublic.com,"'Unlikely, Unlikely, Unlikely': MS NOW’s Barry McCaffrey Predicts Failure In Iran","You’ve heard of Optimist International, the global service organization. If there were a “Pessimist International,” MS NOW military analyst Barry McCaffrey could be kicked out of it — for being too darn negative. Caution is warranted when predicting U.S. succ…",2026-03-01T14:05:41,https://freerepublic.com/focus/f-bloggers/4368829/posts,2026-03-02 17:24:33
74,Nintendo Life,Guide: Upcoming Nintendo Switch 2 Games & Accessories For March & April 2026,"March is on.As we head into the third month of 2026, there's plenty to be looking forward to once you've dragged yourselves away from the shambling hordes of Raccoon City and the two other Resident Evils that dropped on Switch 2 last week.There's a new Pokémo…",2026-03-01T14:00:00,https://www.nintendolife.com/guides/upcoming-nintendo-switch-2-games-and-accessories-for-march-and-april-2026,2026-03-02 17:24:33
